Class,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59
1,0.13218524,0.062233098,0.005694963,0.038828369,0.003769735,0.067925647,0.006522867,0.049761064,0.003509268,0.031862017,0.026091268,0.024436884,0.033319909,0.037079345,0.03239974,0.032185458,0.034940436,0.12171639,0.07684768,0.15194775,0.075842731,0.14998049,0.080022834,0.14784496,0.053979609,0.23202889,0.28104505,0.20204151,0.21640968,0.26491329,0.26186079,0.22907023,0.16845496,0.17617513,0.099496767,0.17606594,0.09462145,0.18437542,0.10325131,0.11683264,0.073541917,0.046724256,0.053158898,0.055620562,0.04888032,0.046468485,0.048011921,0.038617354,0.042649772,0.034044825,0.059177805,0.036967032,0.044766903,0.032657728,0.05159805,0.031122463,0.030664515,0.2833392,0.40217087
1,0.11768582,0.048881128,0.003080249,0.043635055,0.008883949,0.050526518,0.004984637,0.059182018,0.00639931,0.02709418,0.02937041,0.032479443,0.029876951,0.03684745,0.038868111,0.037820507,0.039083932,0.11606772,0.080585048,0.13483515,0.067258455,0.14914073,0.0775306,0.15936916,0.051960882,0.24874665,0.26951563,0.1671522,0.22729826,0.27354467,0.25263262,0.24115239,0.17114641,0.20181122,0.088882074,0.15758403,0.09613055,0.19004887,0.10811926,0.13661355,0.066478238,0.051213149,0.047389068,0.053942103,0.059510455,0.062577531,0.050073121,0.038070694,0.048414521,0.034031771,0.053821642,0.036990486,0.042944472,0.03365792,0.048759349,0.021603862,0.034050267,0.27581632,0.40426877
1,0.15299562,0.044561006,0.005272423,0.063761115,0.006101486,0.065374516,0.008607174,0.057180148,0.004248055,0.027699636,0.026788529,0.038971294,0.041876748,0.050576698,0.038549218,0.033690993,0.034493942,0.10691627,0.059897564,0.16721496,0.08472798,0.15989508,0.076743573,0.11494059,0.042544089,0.13351972,0.18336993,0.33671829,0.27690765,0.19387697,0.18796894,0.16942799,0.16433822,0.13077238,0.10348757,0.22388273,0.11730936,0.1606445,0.087404482,0.11312027,0.059173744,0.058969926,0.07202407,0.064149924,0.063562542,0.044153485,0.041952185,0.034939494,0.041214254,0.043490559,0.046029165,0.048219923,0.045154378,0.030215112,0.037260637,0.028687747,0.045482971,0.32702312,0.44669384
1,0.13802846,0.064541943,0.004593539,0.046140324,0.004768801,0.059681665,0.004849889,0.048869442,0.008297018,0.028809479,0.029629674,0.031223996,0.032308131,0.039697051,0.034243602,0.033944767,0.03326549,0.12066735,0.08686953,0.13638002,0.0657655,0.13194351,0.074748114,0.14389846,0.050718091,0.25560993,0.26863548,0.18314058,0.19021161,0.27039194,0.26792908,0.2149453,0.16881973,0.18974729,0.090981394,0.14851235,0.09551204,0.17918806,0.094977707,0.12498643,0.068094783,0.048942707,0.047765277,0.055741582,0.052873749,0.049036693,0.045570221,0.043863855,0.043881208,0.031918019,0.067181706,0.035742447,0.040448561,0.028288867,0.059253324,0.027078481,0.033124641,0.28464079,0.43627799
1,0.13926376,0.050622389,0.005641634,0.048087668,0.006012665,0.0570153,0.00455301,0.056210931,0.005225491,0.028292624,0.023406517,0.031575434,0.030614432,0.034637216,0.033229757,0.038356476,0.03330997,0.11397208,0.062304217,0.14996356,0.063996412,0.1509499,0.082492799,0.15279974,0.047449376,0.25468737,0.25647399,0.22333774,0.22691104,0.28932014,0.263136,0.22674012,0.16472656,0.14163233,0.10130264,0.14766626,0.089581966,0.16699976,0.10556514,0.10479894,0.074115135,0.04358346,0.046005815,0.051667526,0.060294602,0.04660327,0.042011827,0.032693751,0.036962956,0.029936157,0.054526322,0.03178823,0.052946206,0.03421481,0.049862754,0.02782426,0.042037342,0.28315744,0.41529679
1,0.261657,0.11202145,0.00376613,0.075649321,0.007609514,0.084641904,0.009243113,0.065464683,0.022046346,0.040787406,0.021919737,0.035778232,0.07059563,0.029436439,0.035807744,0.061834272,0.08565639,0.12450175,0.051347587,0.059968382,0.054312214,0.1076287,0.047843803,0.12224419,0.08474382,0.090319529,0.034186479,0.084934823,0.15672196,0.084498644,0.070952386,0.10681107,0.16828862,0.082672447,0.051448449,0.09875039,0.087601684,0.078243233,0.076023772,0.13938275,0.085600063,0.055805255,0.084497064,0.052316483,0.046461284,0.094814204,0.10982885,0.06556125,0.043485932,0.027117213,0.047272444,0.014867095,0.065714136,0.052644808,0.07847178,0.032200951,0.063012399,0.39504308,0.66355556
1,0.088724606,0.066553414,0.001829919,0.028184777,0.003226968,0.058982722,0.004526959,0.031318173,0.003331324,0.02633954,0.015260175,0.019474722,0.030345798,0.035296451,0.021641815,0.03087165,0.034900848,0.11718028,0.064882673,0.13377202,0.065655977,0.13729911,0.067380823,0.14160089,0.049904492,0.28103197,0.30765751,0.19147873,0.22783501,0.32638979,0.29721835,0.2055525,0.18616693,0.18590467,0.085582331,0.16823255,0.097468115,0.20324533,0.10820235,0.12506123,0.071865022,0.041774549,0.049662661,0.051960714,0.03909649,0.047499832,0.049388207,0.039556228,0.031932101,0.028909251,0.061197907,0.030091405,0.021104999,0.031355008,0.050263967,0.026512329,0.022761423,0.242314,0.34295359
1,0.13623446,0.048957575,0.005396343,0.048220791,0.003893454,0.059131302,0.007162979,0.054794017,0.007357284,0.025441321,0.025295448,0.03339358,0.037305094,0.036825255,0.036976848,0.041437581,0.028018495,0.11025485,0.069983482,0.1549754,0.068739474,0.15794353,0.087561138,0.14744486,0.046331622,0.26472816,0.26364654,0.23343652,0.24512365,0.28724703,0.25929397,0.20077826,0.15762153,0.14850923,0.097173274,0.14695701,0.096367694,0.17351139,0.093564965,0.099095501,0.076074764,0.045547493,0.041885369,0.054416899,0.060210563,0.053955048,0.04054283,0.029750029,0.038842838,0.030014168,0.055659276,0.032745875,0.05207929,0.029205827,0.047722358,0.025952136,0.041973028,0.29028252,0.39731485
1,0.12334597,0.056623083,0.002452256,0.03904235,0.00456869,0.055809438,0.005501134,0.044494282,0.005604707,0.029509529,0.02189941,0.028071437,0.034179866,0.035085473,0.030767767,0.036578503,0.03575781,0.12790509,0.075615957,0.13436937,0.058396976,0.13338773,0.090131357,0.16536336,0.052816279,0.25282389,0.26009747,0.13157316,0.22402096,0.30294779,0.27327755,0.26624438,0.17331886,0.17619242,0.081989504,0.13072476,0.082083583,0.18765827,0.11478162,0.13664941,0.06835372,0.044780493,0.04284934,0.047364466,0.04944209,0.057507575,0.052023359,0.039825879,0.041381855,0.029478569,0.063244767,0.034021169,0.03603242,0.04024341,0.050918918,0.03128399,0.031982854,0.27624068,0.39963689
1,0.14002217,0.06946227,0.003553339,0.042911671,0.003343118,0.06096812,0.006520127,0.043518383,0.002733831,0.029337773,0.024653347,0.029421577,0.030680109,0.038530473,0.033701345,0.034848265,0.038217574,0.11997311,0.077147223,0.13768455,0.057906341,0.13421559,0.092595257,0.14890319,0.052255172,0.23973803,0.2447885,0.16925792,0.19641092,0.30117664,0.24132702,0.22047348,0.16444312,0.17291196,0.092709571,0.13155913,0.092560828,0.20101401,0.098917857,0.13210987,0.067132384,0.036964502,0.040384151,0.053983901,0.048486382,0.052754004,0.056197532,0.035580706,0.040573381,0.028385991,0.0617317,0.034664162,0.043953754,0.030849028,0.057923533,0.025151143,0.035826921,0.30112597,0.44477242
